episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
128,-261.59587073868545,-0.0266666666666666,0.1972911218988907,0.0266666666666666,0.6473333333333333,training
129,-239.51525597557244,-0.04,0.1970070379622109,0.04,0.647,training
130,-216.38656521386147,-0.0333333333333333,0.1968427072473419,0.0333333333333333,0.649,training
131,-222.00786360724257,-0.0133333333333333,0.1989267292280022,0.0133333333333333,0.6496666666666666,training
132,-215.0909350300816,-0.0266666666666666,0.1979432140325327,0.0266666666666666,0.6493333333333333,training
133,-232.8685730657912,-0.0266666666666666,0.1973587852474934,0.0266666666666666,0.646,training
134,-226.8419444479376,-0.04,0.1969913635963361,0.04,0.6516666666666666,training
135,-240.4896776244707,-0.0333333333333333,0.1970039728056793,0.0333333333333333,0.648,training
136,-227.5913855495864,-0.0266666666666666,0.1972749171452246,0.0266666666666666,0.6483333333333333,training
137,-228.74145825213537,-0.0133333333333333,0.1979013947279981,0.0133333333333333,0.6493333333333333,training
138,-219.8936162370284,-0.02,0.1976354398986209,0.02,0.6486666666666666,training
139,-234.543027705901,-0.0333333333333333,0.1998529714749838,0.0333333333333333,0.6496666666666666,training
140,-228.64789789855368,-0.04,0.1977805231265506,0.04,0.6493333333333333,training
141,-245.22529175075547,-0.0333333333333333,0.1979927442913508,0.0333333333333333,0.6513333333333333,training
142,-250.69640548190088,-0.02,0.1980261093080953,0.02,0.6486666666666666,training
143,-233.808991307922,-0.0266666666666666,0.2010774235829708,0.0266666666666666,0.649,training
144,-261.3220696740108,-0.0333333333333333,0.1976117385746777,0.0333333333333333,0.6543333333333333,training
145,-354.764671543359,-0.0533333333333333,0.2257583683050891,0.0533333333333333,0.655,training
146,-283.8736657243778,-0.0466666666666666,0.2149040292775194,0.0466666666666666,0.6486666666666666,training
147,-260.2816592842359,-0.0466666666666666,0.2028284206408969,0.0466666666666666,0.6456666666666667,training
148,-324.2980187053504,-0.04,0.2156520333830143,0.04,0.655,training
149,-289.0850470612346,-0.04,0.2009300956551943,0.04,0.6523333333333333,training
150,-255.1807588898664,-0.02,0.1998913488652425,0.02,0.649,training
151,-242.10462105608,-0.0133333333333333,0.1972442696759283,0.0133333333333333,0.6483333333333333,training
152,-231.952821259004,-0.0466666666666666,0.1976436679494884,0.0466666666666666,0.647,training
153,-242.39913843234245,-0.0333333333333333,0.197105191492563,0.0333333333333333,0.6466666666666666,training
