dag,algo,kind,label,seed,app_timeout_rate,task_timeout_rate,energy,delay_succ,delay_all,E_succ,E_all,UtilityScore_succ,UtilityScore_all,score,runtime_min,inference_time_ms,D_all_src,has_reeval,src_dir,mtime
chain,nocp,ablation,nocp,7,0.02,0.616,0.1970377846704193,1.2303300770140255,1.21809926982605,0.1970377846704193,0.1970377846704193,0.6888353512873363,0.6891466273328206,1.2936662880248868,39.24,5.182187283416587,result_reeval.json,True,ablation_classic_chain_20260608_114124,2026-06-09 17:04
chain,nocp,ablation,nocp,9,0.0733333333333333,0.6933333333333334,0.184309917742657,1.3033814683588372,1.2866855196662077,0.1841537890770938,0.1841537890770938,0.5718279262004132,0.572372082689435,5.844719288278916,107.09,15.06722638163482,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 18:09
chain,nocp,ablation,nocp,11,0.1466666666666666,0.7353333333333333,0.2082534882708752,1.470399090855192,1.4209779575337165,0.2077498364654373,0.2077498364654373,0.18139333243069622,0.18370797205106454,76.4893903898729,105.16,14.961024547827082,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 18:04
chain,nocp,ablation,nocp,15,0.1,0.7276666666666667,0.2052527579173333,1.4105540571616082,1.3785172998247743,0.2052527579173333,0.2052527579173333,0.4517980363572944,0.4530325072440661,21.620578462905733,191.84,27.549628805052137,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 14:34
chain,nocp,ablation,nocp,19,0.0733333333333333,0.672,0.1823606014280029,1.313450453542103,1.2947030657837175,0.1821693375022771,0.1821693375022771,0.5736504147675389,0.5742595010596232,5.805035969232456,193.73,27.65430129014808,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 14:31
chain,nocp,ablation,nocp,42,0.0466666666666666,0.6586666666666666,0.1963176984145722,1.24126973280431,1.2251342946385175,0.1967117755071947,0.1967117755071947,0.648891632606918,0.64934399242924,1.3802461219614233,54.56,7.410330012939729,result.json,False,main_comparison_20260824_203442,2026-08-25 09:45
chain,noguidece,ablation,noguidece,1,0.1266666666666666,0.68,0.208203186226102,1.3770464259860298,1.3547159027625295,0.208063006483352,0.208063006483352,0.315488152177425,0.31646203955164937,48.58083504360391,53.74,7.420718889810956,result.json,False,main_comparison_20260824_203442,2026-08-24 23:49
chain,noguidece,ablation,noguidece,3,0.1666666666666666,0.7473333333333333,0.2288946037963497,1.5780809900504966,1.5054950732343375,0.2288946037963497,0.2288946037963497,0.044976070474947,0.04848514664750098,110.72389702456708,52.8,7.416046173811747,result.json,False,main_comparison_20260824_203442,2026-08-25 00:42
chain,noguidece,ablation,noguidece,5,0.1333333333333333,0.7406666666666667,0.2034339816342087,1.5097442356181148,1.4659457727866176,0.2032953854415607,0.2032953854415607,0.26159705791943794,0.26357276062286883,57.28925821010976,90.76,13.098228002664362,result.json,False,main_comparison_20260821_155715,2026-08-21 19:14
chain,noguidece,ablation,noguidece,7,0.04,0.6296666666666667,0.1962744334119776,1.233737358418409,1.2203306263520768,0.1962744334119776,0.1962744334119776,0.663366149816008,0.6637297061593438,1.3213958168703577,75.86,10.490378931506292,result.json,False,main_comparison_20260821_155715,2026-08-21 20:30
chain,noguidece,ablation,noguidece,9,0.0733333333333333,0.6926666666666667,0.1835227646958636,1.3013602483352744,1.2812364802350031,0.1835227646958636,0.1835227646958636,0.5719611187527619,0.5726167843161647,5.843446450620464,111.01,15.740821842001708,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 12:38
