dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
wide,R1-6,LAMBDA_GUIDE,0,False,42,0.013333333333333334,0.42840984204052157,0.42729159011673973,0.7470054175888686,0.7470054175888686,0.128062972626383
default,R1-6,BONUS_TO,-14,False,1,0.11333333333333333,1.2530433209127725,1.2214230562333956,0.403760399979057,0.4024773664949724,0.2053165080741827
default,R1-6,BONUS_TO,-14,False,3,0.13333333333333333,1.3769682965873618,1.3331707182323185,0.27297628555353554,0.27101129584120875,0.22769193515105746
default,R1-6,BONUS_TO,-14,False,5,0.11333333333333333,1.2773666259796832,1.2518230774765384,0.3903058400824585,0.3892562891334233,0.2033865356896258
default,R1-6,BONUS_TO,-14,False,7,0.04,1.09028054835981,1.0778543638462272,0.6728616218558494,0.6725320155349163,0.1953879961300108
default,R1-6,BONUS_TO,-14,False,42,0.013333333333333334,1.0929559042277437,1.0872921772792277,0.6960195023498221,0.6958780037567309,0.2004031312766134
default,R1-6,BONUS_TO,-10,False,1,0.10666666666666667,1.2486480021673716,1.2175400018061426,0.43821319401539505,0.4369946427446277,0.20657167739449672
default,R1-6,BONUS_TO,-10,False,3,0.16,1.3621150756747953,1.3009548913506768,0.10896025304535739,0.10603130868224517,0.22650913449487475
default,R1-6,BONUS_TO,-10,False,5,0.14666666666666667,1.2831309634213868,1.2499047707371091,0.19300436935636006,0.19145405887259329,0.20148554662849918
default,R1-6,BONUS_TO,-10,False,7,0.0,1.0827680973111444,1.076146649526253,0.710582300128869,0.7104234413114442,0.1961767727517629
default,R1-6,BONUS_TO,-10,False,42,0.02,1.0872593233867511,1.0833872216287028,0.6905495339164874,0.690451378929196,0.20054503790747885
default,R1-6,BONUS_TO,-7,True,1,0.09333333333333334,1.2487844114618727,1.216395113475148,0.5025155189138723,0.501341614874903,0.20483726081285658
default,R1-6,BONUS_TO,-7,True,3,0.13333333333333333,1.3693188084546548,1.3076822944255373,0.27605986733791743,0.2732989146704343,0.2255656527852566
default,R1-6,BONUS_TO,-7,True,5,0.15333333333333332,1.2767347926816333,1.2451878341453064,0.1527484851957646,0.15125536151624647,0.2026109159335889
default,R1-6,BONUS_TO,-7,True,7,0.02666666666666667,1.0921203929195917,1.0815507614860247,0.6898304967692064,0.6895619958380989,0.19562265593413944
default,R1-6,BONUS_TO,-7,True,42,0.04666666666666667,1.0947436760571134,1.0838658907988301,0.6545441603535221,0.6542428240268566,0.20025629021887734
default,R1-6,BONUS_TO,-4,False,1,0.12,1.2494783378391194,1.2189020926136716,0.3667296781007212,0.36544681028930326,0.2039223685601923
default,R1-6,BONUS_TO,-4,False,3,0.09333333333333334,1.3490758826274374,1.3200186825652176,0.4897605626418411,0.48868969986010513,0.2284125979957371
default,R1-6,BONUS_TO,-4,False,5,0.12,1.2882080356335057,1.2690330951734707,0.35168082953662005,0.3508664457117848,0.2025514131600527
default,R1-6,BONUS_TO,-4,False,7,0.02,1.095601631801165,1.0860575121357467,0.6960649642488022,0.695826518706296,0.19573322333075502
default,R1-6,BONUS_TO,-4,False,42,0.04,1.097098793030843,1.0879115482085806,0.6658033525358843,0.6655554790263175,0.2003860715249036
default,R1-6,BONUS_TO,-2,False,1,0.10666666666666667,1.249025410475452,1.2164008365898704,0.43854051862371085,0.4372629728780497,0.2045271190679158
default,R1-6,BONUS_TO,-2,False,3,0.1,1.3603416041348204,1.3140618965033626,0.45828026336981326,0.4565071261755168,0.22769008562149035
default,R1-6,BONUS_TO,-2,False,5,0.12666666666666668,1.2843879032199004,1.2561103225759198,0.3154965331036277,0.3142623334910006,0.20139132264273868
default,R1-6,BONUS_TO,-2,False,7,0.006666666666666667,1.084739393385984,1.0734338580914786,0.7067409154345955,0.7064666515497856,0.19595400060514284
